manufacturer,device,has_jack,has_loudspeaker,has_stereo,has_dual,average_dollar_price,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_cpu_count,platform_cpu_speed_ghz,memory_internal_storage,memory_ram,main_camera_single_mp
vodafone,vodafone_smart_4,1,1,0,0,96.3,2014,1,1880,1,134.7,66,152,0,0,0,1,0,0,0,tft,60,4.5,55.8,62.8,480,854,218,android,2,1.2,4,0.512,5
vodafone,vodafone_smart_first_7,1,1,0,0,32.1,2016,1,1400,1,114.4,62.8,110,0,1,0,0,0,0,0,tft tn,60,3.5,36.5,50.8,320,480,165,android,4,1.3,4,0.512,2
vodafone,vodafone_tab_prime_6,1,1,0,0,224.7,2015,1,4600,0,244,146,406,0,0,0,1,0,0,0,ips lcd,60,9.6,67,75,800,1280,157,android,4,1.3,16,1,5
vodafone,vodafone_smart_4_turbo,1,1,0,0,107,2014,1,1880,1,134.5,67.5,155,0,0,0,1,0,0,0,tft,60,4.5,55.8,61.5,480,854,218,android,4,1.2,4,1,5
vodafone,vodafone_smart_4_power,1,1,0,0,160.5,2014,1,3000,0,141,71.4,162,0,0,0,1,0,0,0,ips lcd,60,5,68.9,68.5,540,960,220,android,4,1.3,4,1,5
vodafone,vodafone_smart_iii_975,1,1,0,0,117.7,2013,1,1500,1,123.2,64.4,136,0,1,0,0,0,0,0,tft,60,4,45.5,57.4,480,800,233,android,,1,4,0.512,5
vodafone,vodafone_smart_tab_ii_7,1,1,1,0,192.6,2012,1,3550,0,192,122,400,0,1,0,0,0,0,0,tft,60,7,137.9,58.9,600,1024,170,android,,1,4,1,2
vodafone,vodafone_smart_tab_ii_10,1,1,1,0,288.9,2012,1,6340,0,259.8,178,580,0,1,0,0,0,0,0,tft,60,10,90,62.7,800,1280,151,android,2,1.5,16,1,5
wiko,wiko_view,1,1,0,0,160.5,2017,1,2900,1,151.5,73.1,160,2,0,0,1,0,1,0,ips lcd,60,5.7,83.8,75.7,720,1440,282,android,4,1.4,32,3,13
wiko,wiko_view2,1,1,0,0,214,2018,1,3000,0,154.5,72,153,2,0,1,0,0,1,1,ips lcd,60,6,89.6,80.5,720,1528,282,android,8,1.4,32,3,13
wiko,wiko_y62,1,1,0,0,74.9,2021,1,3000,1,157,75.8,171.5,2,0,1,0,0,1,0,ips lcd,60,6.1,91.3,76.8,720,1560,282,android,4,1.8,16,1,5
wiko,wiko_y61,1,1,0,0,64.2,2020,1,3000,2,161.3,78.1,190,2,0,1,1,0,1,0,ips lcd,60,5.99,92.6,73.5,480,960,179,android,4,1.8,32,2,8
wiko,wiko_y62_plus,1,1,0,0,74.9,2021,1,3000,2,157,75.8,172,2,0,1,0,0,1,0,ips lcd,60,6.1,91.3,76.8,720,1560,282,android,4,1.8,32,2,8
wiko,wiko_power_u10,1,1,0,0,107,2021,1,5000,0,173.8,78.6,206,2,0,1,0,0,1,0,ips lcd,60,6.82,110.5,80.9,720,1640,263,android,8,1.8,32,3,13
wiko,wiko_tommy3_plus,1,1,0,0,85.6,2019,1,2900,2,147.6,71.3,150,2,0,0,1,0,1,0,ips lcd,60,5.45,76.7,72.8,720,1440,295,android,4,1.3,16,2,13
wiko,wiko_y81,1,1,0,0,85.6,2020,1,4000,0,157.9,76.1,166,2,0,1,0,0,1,0,ips lcd,60,6.2,95.9,79.8,720,1520,271,android,4,1.8,32,2,13
wiko,wiko_y52,1,1,0,0,53.5,2021,1,2020,1,143.2,73.5,153,2,0,1,1,0,1,0,tn lcd,60,5,68.9,65.5,480,854,196,android,4,1.4,16,1,5
wiko,wiko_view_prime,1,1,0,0,203.3,2017,1,3000,0,152.3,72.8,162,2,0,1,0,0,1,0,ips lcd,60,5.7,83.8,75.6,720,1440,282,android,8,1.4,64,4,16
wiko,wiko_lenny2,1,1,1,0,128.4,2015,1,1800,1,145.4,73.2,156,2,0,0,1,0,0,0,ips lcd,60,5,68.9,64.7,480,854,196,android,4,1.3,4,0.768,5
xiaomi,xiaomi_redmi_a3,1,1,0,0,97.05733333,2024,1,5000,0,168.3,76.3,193,2,0,1,0,0,1,0,ips lcd,90,6.71,106.5,82.9,720,1650,268,android,8,1.6,128,6,0.08
xiaomi,xiaomi_pad_6,0,1,1,0,428,2023,1,8840,0,254,165.2,490,0,0,0,0,0,0,0,ips lcd,144,11,350.9,83.6,1800,2880,309,android,8,1.8,256,8,13
xiaomi,xiaomi_redmi_9a,1,1,0,0,78.00875,2020,1,5000,0,164.9,77.1,196,2,0,1,0,0,1,0,ips lcd,60,6.53,102.9,81,720,1600,269,android,8,1.5,128,6,13
xiaomi,xiaomi_redmi_pad_se,1,1,1,0,214,2023,1,8000,0,255.5,167.1,478,0,0,0,0,0,0,0,ips lcd,90,11,347.5,81.4,1200,1920,207,android,8,1.9,256,8,8
xiaomi,xiaomi_redmi_12c,1,1,0,0,91.00623333,2023,1,5000,0,168.8,76.4,192,2,0,1,0,0,1,0,ips lcd,60,6.71,106.5,82.6,720,1650,268,android,8,1.8,128,6,0.08
xolo,xolo_a500s,1,1,0,0,128.4,2013,1,1400,1,125,63.2,120,2,1,0,0,0,1,0,tft,60,4,45.5,57.6,480,800,233,android,2,1.3,4,0.512,5
xolo,xolo_a500_club,1,1,0,0,85.6,2014,1,1400,1,124.5,61.9,120,2,0,0,0,0,0,0,ips lcd,60,4,45.5,59.1,480,800,233,android,2,1.3,4,0.512,5
xolo,xolo_q1000,1,1,0,0,160.5,2013,1,2100,1,143.5,70.8,171.1,2,1,0,0,0,0,0,ips lcd,60,5,68.9,67.8,720,1280,294,android,4,1.2,4,1,8
xolo,xolo_win_q900s,1,1,0,0,128.4,2014,1,1800,1,135.8,67.2,100,2,0,0,0,0,1,0,ips lcd,60,4.7,60.9,66.7,720,1280,312,microsoft,4,1.2,8,1,8
xolo,xolo_q700,1,1,0,0,107,2013,1,2400,1,135.8,67.5,151.3,2,1,0,0,0,0,0,ips lcd,60,4.5,55.8,60.9,540,960,245,android,4,1.2,4,1,5
