manufacturer,device,Network_Technology,Misc_Price,Platform_GPU,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_chipset_manufacturer,platform_cpu_count,platform_cpu_speed_ghz,memory_card_slot,memory_internal_storage,memory_ram,main_camera_single_mp
microsoft,microsoft_lumia_640_xl_dual_sim,GSM / HSPA,About 170 EUR,Adreno 305,2015,1,3000,1,157.9,81.5,171,2,0,0,1,0,1,0,ips lcd,60,5.7,88.9,69.1,720,1280,259,microsoft,qualcomm,4,1.2,microsdxc,8,1,13
microsoft,microsoft_lumia_435_dual_sim,GSM / HSPA,About 70 EUR,Adreno 302,2015,1,1560,1,118.1,64.7,134.1,2,0,0,1,0,1,0,ips lcd,60,4,45.5,59.6,480,800,233,microsoft,qualcomm,2,1.2,microsdxc,8,1,2
microsoft,microsoft_lumia_640_xl_lte_dual_sim,GSM / HSPA / LTE,About 200 EUR,Adreno 305,2015,1,3000,1,157.9,81.5,171,2,0,0,1,0,1,0,ips lcd,60,5.7,88.9,69.1,720,1280,259,microsoft,qualcomm,4,1.2,microsdxc,8,1,13
motorola,motorola_moto_g04s,GSM / HSPA / LTE,€ 119.00,Mali-G57 MP1,2024,1,5000,0,163.5,74.5,178.8,2,0,1,0,0,1,0,ips lcd,90,6.56,103.4,84.9,720,1612,269,android,unisoc,8,1.6,microsdxc,128,8,50
motorola,motorola_moto_g04,GSM / HSPA / LTE,C$ 149.00 / £ 89.99 / € 102.38,Mali-G57 MP1,2024,1,5000,0,163.5,74.5,178.8,1,0,1,0,0,0,0,ips lcd,90,6.56,103.4,84.9,720,1612,269,android,unisoc,8,1.6,microsdxc,128,8,16
motorola,motorola_moto_e13,GSM / HSPA / LTE,$ 89.00 / C$ 120.00 / € 77.90,Mali-G57 MP1,2023,1,5000,0,164.2,75,179.5,2,0,1,0,0,1,0,ips lcd,60,6.5,102,82.8,720,1600,270,android,unisoc,8,1.6,microsdxc,128,8,13
motorola,motorola_moto_g_play_(2024),GSM / HSPA / LTE,$ 149.99,Adreno 610,2024,1,5000,0,163.8,75,185,0,0,1,0,0,0,0,ips lcd,90,6.5,102,83,720,1600,270,android,qualcomm,8,1.9,microsdxc,64,4,50
niu,niu_tek_4d2,GSM / HSPA,,Mali-400,2014,1,1200,1,123,63,152,2,1,0,1,0,0,0,tft,60,4,45.5,58.8,480,800,233,android,mediatek,2,1,microsdxc,4,0.512,3.15
niu,niu_andy_3_5e2i,GSM / UMTS / HSPA,,Mali-400,2015,1,1300,1,115.5,62.8,102,2,1,0,1,0,0,0,lcd,60,3.5,36.5,50.3,320,480,165,android,mediatek,2,1,microsdxc,4,0.512,5
niu,niu_andy_5ei,GSM / HSPA,,Mali-400,2014,1,1550,1,142.8,73.4,160,2,1,0,1,0,0,0,tft,60,5,68.9,65.7,480,854,196,android,mediatek,2,1,microsdxc,4,0.512,5
niu,niu_tek_5d,GSM / HSPA,,Mali-400,2015,1,2000,1,156.3,74.2,150,2,1,0,1,0,0,0,tft,60,5,44.1,38,480,854,245,android,mediatek,2,1,microsdxc,4,0.512,5
niu,niu_andy_5t,GSM / HSPA,,Mali-400MP2,2014,1,1800,0,144,69.7,123,2,1,0,1,0,0,0,ips lcd,60,5,68.9,68.7,720,1280,294,android,mediatek,4,1.3,microsdxc,4,1,13
niu,niu_niutek_3_5d,GSM / HSPA,,Mali-400,2013,1,1400,1,118,62.5,108,2,1,0,0,0,0,0,tft,60,3.5,36.5,49.5,320,480,165,android,mediatek,2,1,microsdhc,0.512,0.256,2
niu,niu_andy_4e2i,GSM / HSPA,,Mali-400,2015,1,1400,1,121,64.6,110,2,1,0,1,0,0,0,tft,60,4,45.5,58.3,480,800,233,android,mediatek,2,1,microsdxc,4,0.512,5
niu,niu_niutek_3_5d2,GSM / HSPA,,Mali-400,2014,1,1200,1,116,61,98,2,1,0,1,0,0,0,tft,60,3.5,36.5,51.5,320,480,165,android,mediatek,2,1,microsdxc,2,0.256,2
niu,niu_niutek_4_5d,GSM / HSPA,,Mali-400,2013,1,1650,1,137.6,68,139,2,1,0,0,0,0,0,tft,60,4.5,55.8,59.6,480,854,218,android,mediatek,2,1.2,microsdhc,0.512,0.256,5
niu,niu_niutek_4_0d,GSM / HSPA,,Mali-400,2013,1,1500,1,127,62.9,131,2,1,0,0,0,0,0,tft,60,4,45.5,57,480,800,233,android,mediatek,2,1.2,microsdhc,0.512,0.256,3.15
